billie-holiday|Billie Holiday|1915-04-07|1959-07-17|USA|music|woman|Changed jazz singing through unmatched phrasing, emotional directness and rhythmic freedom.|Billie_Holiday|well-known
d-h-lawrence|D. H. Lawrence|1885-09-11|1930-03-02|UK|literature|man|Wrote novels, stories and poems that challenged conventions around class, sexuality and industrial society.|D._H._Lawrence|discovery
yukio-mishima|Yukio Mishima|1925-01-14|1970-11-25|Japan|literature|man|Produced a prolific body of fiction, drama and essays and became a major postwar Japanese writer.|Yukio_Mishima|discovery
chadwick-boseman|Chadwick Boseman|1976-11-29|2020-08-28|USA|film|man|Brought historical figures and Black Panther to the screen while privately undergoing cancer treatment.|Chadwick_Boseman|well-known
freddie-mercury|Freddie Mercury|1946-09-05|1991-11-24|UK|music|man|Became one of rock's defining singers, songwriters and live performers with Queen.|Freddie_Mercury|iconic
john-f-kennedy|John F. Kennedy|1917-05-29|1963-11-22|USA|politics|man|Served as the 35th U.S. president during the Cuban Missile Crisis and the early space race.|John_F._Kennedy|iconic
pierre-curie|Pierre Curie|1859-05-15|1906-04-19|France|science|man|Made foundational discoveries in radioactivity, magnetism and crystallography.|Pierre_Curie|well-known
oscar-wilde|Oscar Wilde|1854-10-16|1900-11-30|Ireland|literature|man|Combined dazzling social comedy with fiction and essays that became central to late-Victorian literature.|Oscar_Wilde|iconic
albert-camus|Albert Camus|1913-11-07|1960-01-04|France|literature|man|Wrote The Stranger and The Plague and received the Nobel Prize in Literature at 44.|Albert_Camus|iconic
george-orwell|George Orwell|1903-06-25|1950-01-21|UK|literature|man|Wrote Animal Farm and Nineteen Eighty-Four, two of the most influential political novels of the 20th century.|George_Orwell|iconic
james-clerk-maxwell|James Clerk Maxwell|1831-06-13|1879-11-05|UK|science|man|Unified electricity, magnetism and light in one of physics' great theoretical syntheses.|James_Clerk_Maxwell|iconic
diane-arbus|Diane Arbus|1923-03-14|1971-07-26|USA|art|woman|Changed documentary portraiture through direct, unsettling photographs of people outside conventional norms.|Diane_Arbus|discovery
harvey-milk|Harvey Milk|1930-05-22|1978-11-27|USA|politics|man|Became one of the first openly gay elected officials in the United States and a major LGBTQ-rights symbol.|Harvey_Milk|well-known
walter-benjamin|Walter Benjamin|1892-07-15|1940-09-26|Germany|literature|man|Produced influential criticism on art, media, history and modern urban life.|Walter_Benjamin|discovery
satoshi-kon|Satoshi Kon|1963-10-12|2010-08-24|Japan|film|man|Created psychologically intricate animated films that influenced filmmakers worldwide.|Satoshi_Kon|discovery
virginia-woolf|Virginia Woolf|1882-01-25|1941-03-28|UK|literature|woman|Expanded the formal possibilities of the modern novel and became a major feminist essayist.|Virginia_Woolf|iconic
george-boole|George Boole|1815-11-02|1864-12-08|UK|mathematics|man|Created the algebra of logic that later became fundamental to digital computing.|George_Boole|discovery
john-von-neumann|John von Neumann|1903-12-28|1957-02-08|Hungary / USA|mathematics|man|Made foundational contributions across mathematics, quantum theory, computing and game theory.|John_von_Neumann|well-known
emmy-noether|Emmy Noether|1882-03-23|1935-04-14|Germany / USA|mathematics|woman|Transformed abstract algebra and established a theorem linking symmetries with conservation laws in physics.|Emmy_Noether|well-known
benazir-bhutto|Benazir Bhutto|1953-06-21|2007-12-27|Pakistan|politics|woman|Became the first woman to lead a democratic government in a Muslim-majority country.|Benazir_Bhutto|well-known
steve-jobs|Steve Jobs|1955-02-24|2011-10-05|USA|engineering|man|Helped shape personal computing, digital media and the modern smartphone through Apple.|Steve_Jobs|iconic
virginia-apgar|Virginia Apgar|1909-06-07|1974-08-07|USA|science|woman|Created the Apgar score, a simple assessment that transformed newborn care worldwide.|Virginia_Apgar|discovery
sophie-germain|Sophie Germain|1776-04-01|1831-06-27|France|mathematics|woman|Made important contributions to number theory and elasticity despite being excluded from formal mathematical institutions.|Sophie_Germain|discovery
marie-curie|Marie Curie|1867-11-07|1934-07-04|Poland / France|science|woman|Pioneered the study of radioactivity and became the first person to win two Nobel Prizes.|Marie_Curie|iconic
indira-gandhi|Indira Gandhi|1917-11-19|1984-10-31|India|politics|woman|Served as India's first and, so far, only woman prime minister across four terms.|Indira_Gandhi|well-known
bell-hooks|bell hooks|1952-09-25|2021-12-15|USA|literature|woman|Made feminist theory widely accessible through influential writing on race, gender, love and culture.|Bell_hooks|well-known
alan-shepard|Alan Shepard|1923-11-18|1998-07-21|USA|exploration|man|Became the first American in space and later walked on the Moon.|Alan_Shepard|discovery
karen-sparck-jones|Karen Spärck Jones|1935-08-26|2007-04-04|UK|engineering|woman|Pioneered information-retrieval techniques that underpin modern search engines.|Karen_Spärck_Jones|discovery
dennis-ritchie|Dennis Ritchie|1941-09-09|2011-10-12|USA|engineering|man|Created the C programming language and co-created Unix, shaping modern software systems.|Dennis_Ritchie|well-known
grace-hopper|Grace Hopper|1906-12-09|1992-01-01|USA|engineering|woman|Helped pioneer compilers and made programming languages more accessible to humans.|Grace_Hopper|iconic
